file_name,chunk_index,heading,snippet
cuad_002.pdf,9,--- PAGE BREAK ---,disney  disneyland promotions disney bargain  disneyland save disney bargains  disneyland save disney cheap  disneyland savings disney cruise  disneyland savings disney cruise vacations  disneyland travel disney deal  disneyland trip disney discount  disneyland trips disney family vacation  disneyland vacation disney family vacations  disneyland vacations disney florida vacation  disneyworld barga
cuad_002.pdf,10,--- PAGE BREAK ---,UAL united travel united airlines.com united star alliance ual.com united airlines specials united air lines united discounts www.unitedairlines.com united trip united airlines schedule  travel with united united airline travel united airlines discounts united reservation  united airlines official website www.ual.com united business class united express  united airlines airports united reservation
cuad_002.pdf,11,--- PAGE BREAK ---,Continental Restricted Key Words Continental airlines Continental air fare Continental Continental airlines reservations online continental.com  Continental airline fare continental airline international Continental flights www.continental.com Continental air continental flight  Continental first class continental air lines  Continental Vacation continental airlines schedule  Continental travel co
cuad_003.pdf,0,Document Start,"Exhibit 10.27    --- MARKETING AFFILIATE AGREEMENT ---  Between: Birch First Global Investments Inc. And Mount Knowledge Holdings Inc. Dated: May 8, 2014 1    --- --- PAGE BREAK --- ---  1. 2. 2.1 2.2 This Marketing Affiliate Agreement (the “Agreement”) is entered into this 8th day of May2014, by and between BIRCH FIRST GLOBAL INVESTMENTS INC., a corporation incorporatedin the U.S. Virgin Islands,"
cuad_003.pdf,1,--- PAGE BREAK ---,3. 3.1 3.2 3.3 3.4 3.5 3.6 Duties of MA. Best Efforts. MA agrees to use its best efforts to market and license the Technology toClients consistent with the terms of this Agreement. License Agreement. MA shall execute a Company License Agreement/ClientRegistration Form with Clients and present that License Agreement/Client RegistrationForm to Company after each purchase of the Technology. Upon the 
cuad_003.pdf,2,--- PAGE BREAK ---,"3.7 3.8 3.9 (a)(b)(c)(d) 3.10 3.11 3.12 Sales Records. MA shall keep accurate records of the sales of the Technology andMaintenance, including Client Registration Cards and shall make these records availablefor review by a representative of Company within ten (10) business days following theend of each month. Sales and Technical Training. MA shall attend initial marketing, application, andtechnica"
cuad_003.pdf,3,--- PAGE BREAK ---,"4. 4.1 4.2 (a) (b) (c) (d) (e) 4.3 4.4 4.5 5. Duties of Company. Commitment. So long as MA is not in default hereunder, Company agrees to provideTechnology to MA in accordance with the terms and conditions of this Agreement. Deliverables. Upon the request of MA, Company shall at prices or fees then in effect ormutually agreed upon by the parties: Provide Technology to MA at the discounted prices s"
cuad_003.pdf,4,--- PAGE BREAK ---,"6. 7. 7.1 7.2 7.3 7.4 7.5 7.6 8. 8.1 8.2 Territory. The Territory for MA shall be defined in Schedule A of this Agreement. Company reserves theright to adjust or modify the Territory upon renewal of this Agreement or from time to time by mutualagreement of the parties. Payment and Deliveries. Payment Terms. When fees are not collected directly from the corporate user, MAagrees to pay Company, in t"
cuad_003.pdf,5,--- PAGE BREAK ---,8.3 8.4 9. 10. MA shall notify Company in writing of any errors found by it in the Technology withinthirty (30) days of such discovery. Company will undertake all reasonable efforts to provide technical assistance to MAunder this Agreement when MA is unable to resolve certain technical issues and torectify or provide solutions to problems where the Technology does not function asdescribed in the T
cuad_003.pdf,6,--- PAGE BREAK ---,"11. 12. 12.1 12.2 12.3 13. 14. Distribution by MA. MA agrees to distribute Technology only through the Company License Agreement/ClientRegistration Card between the Client and Company. MA acknowledges that the Company LicenseAgreement/ Client Registration Card specifies the terms under which a Client receives, holds and usesthe Package or Service. Trade Secrets and Source Code. MA recognizes that "
cuad_003.pdf,7,--- PAGE BREAK ---,"15. 16. 16.1 16.2 16.3 16.4 16.5 Unauthorized Use. MA shall notify Company promptly of any misuse of unauthorized use of the Technology, whichcomes to the attention of MA, and shall notify its Clients upon the request of Company when Companybelieves such Technology are being misused. MA shall cooperate, at Company’s reasonable expense,with Company in any action, including any legal action, which C"
cuad_003.pdf,8,--- PAGE BREAK ---,"(c) (d) (e) (f) (g) 19. 19.1 MA shall not continue to use or employ any part of the Technology as partof any product which MA shall convey, assign, lease, license or transfer toany third parties; MA shall immediately cease advertising, marketing, promoting anddistributing the Technology and shall cease using the trade names,trademarks, service marks and any other proprietary right of Company; Exce"
cuad_003.pdf,9,--- PAGE BREAK ---,"19.2 19.3 20. 21. 22. “MA”'s Obligations. MA will make no use of Confidential Information for anypurpose except as expressly authorized by this Agreement. Except as expresslyprovided in this Agreement, MA will not disclose Confidential Information to any thirdparty and will protect and treat all Confidential Information with the same degree of careas it uses to protect its own confidential informa"
cuad_003.pdf,10,--- PAGE BREAK ---,"23. 24. 25. 26. Notices. Any notice required under this Agreement shall be deemed to have been given when hand-delivered or on the date of mailing when mailed by standard Mail, postage prepaid, and addressed tothe party to receive such notice at the address designated below, or such other address as the partymay from time to time direct in writing. Governing Law; Attorney’s Fee. This Agreement is "
cuad_003.pdf,11,--- PAGE BREAK ---,"COMPANY BIRCH FIRSTINVESTMENTS INC.A US Virgin Islands corporation By: /s/ Pier S. BjorklundPier S. Bjorklund, President This Agreement was executed as of the date set forth above. MA MOUNT KNOWLEDGEHOLDINGS INC.A Nevada corporation By: /s/ James D. Beatty James D. Beatty, CEO and President 14  1. Note 1: Note 2: Note 3: Note 4: Note 5: Note 6: 2. (a)    --- SCHEDULE A ---  MARKETING AFFILIATETech"
cuad_004.pdf,0,Document Start,"DIGITAL CINEMA DESTINATIONS CORP.   NETWORK AFFILIATE AGREEMENT   THIS NETWORK AFFILIATE AGREEMENT (this “Agreement”) is made as of this 14th day of March, 2011 by and between National CineMedia, LLC, a Delaware limited liability company (“NCM”), and Digital Cinema Destinations Corp., a Delaware corporation (“Network Affiliate” and with NCM, each a “Party” and collectively, the “Parties”).   BACKG"
cuad_004.pdf,1,--- PAGE BREAK ---,"“Branded Slots” has the meaning assigned to it in Section 3.6(b).   “Change of Control” has the meaning assigned to it in Section 14.8.   “Confidential Information” means any and all technical and non-technical information of or related to either Party, including, without limitation, proprietary information, know-how, the NCM Property and Derived Works, and information related to or regarding eith"
cuad_004.pdf,2,--- PAGE BREAK ---,“Excluded Theatres” has the meaning assigned to it in Section 3.10(a).   “Exclusivity Exceptions” has the meaning assigned to it in Section 6.1.   “Flight” has the meaning assigned to it in Section 3.2(a).   “IMAX Screens” has the meaning assigned to it in Section 3.10(b).   “Infringement” has the meaning assigned to it in Section 11.2.   “Initial Term” has the meaning assigned to it in Section 8.
cuad_004.pdf,3,--- PAGE BREAK ---,“Non-Digitized Theatres” means Theatres that are not Digitized Theatres.   “Party” or “Parties” has the meaning assigned to it in the preamble of this Agreement.   “Play List” has the meaning assigned to it in Section 3.2(a).   “Policy Trailer” has the meaning assigned to it in Section 3.6(a).   “Point-of-Sale Information” has the meaning assigned to it in Section 5.1.   “Pre-Feature Program” mean
cuad_004.pdf,4,--- PAGE BREAK ---,"“Theatres” means the individual Network Affiliate theatres listed on Exhibit B, as such list may be modified from time to time.   “Traditional Content Program” means advertising and other promotional content which is displayed on 35 mm film before Showtime.   “Trailer” means a promotion secured by Network Affiliate (which retains the exclusive rights to so secure for all of its Theatres) for a fea"
cuad_004.pdf,5,--- PAGE BREAK ---,"Section 2.4 Ownership of Big D Equipment. Network Affiliate will own the Big D Equipment it has purchased or leased pursuant to Section 2.1(c) (the “Network Affiliate Equipment”) and NCM disclaims any ownership interest, rights or liens in the Network Affiliate Equipment.   Section 2.5 Installation. Except as otherwise provided herein, NCM and/or its subcontractors shall be solely responsible for "
cuad_004.pdf,6,--- PAGE BREAK ---,"(b) Acquisitions. Any Network Affiliate theatre built or acquired following the Effective Date shall, upon mutual agreement of the parties, become a Theatre, and the capital costs of equipping all such new Theatres to receive the Service shall be as mutually agreed.   Section 2.7 Training. Network Affiliate agrees to permit NCM to provide training services to Network Affiliates’ support staff and "
cuad_004.pdf,7,--- PAGE BREAK ---,"Section 3.2 Content and Distribution of the Digital Content Service and Traditional Content Program.   (a) Distribution. On the Effective Date, NCM will commence distribution of the Digital Carousel, the Digital Content Service and the Traditional Content Program to the Digitized Theatres and Non-Digitized Theatres, all as set forth above in Section 3.1. With respect to Digitized Theatres, content"
cuad_004.pdf,8,--- PAGE BREAK ---,"(ii) NCM covenants and agrees that Lobby Promotions provided pursuant to this Agreement will conform to all standards and specifications of which Network Affiliate provides NCM reasonable notice during the Term, including without limitation standards and specifications with respect to manufacturers and suppliers, sizing (e.g., cup and popcorn tub sizing), timing of delivery of concession supplies "
cuad_004.pdf,9,--- PAGE BREAK ---,"Section 3.5 Development of the Program. All operational costs associated with NCM’s procurement, preparation and delivery of the Service (including Inventory and other promotional materials as provided herein) to the Theatres shall be borne exclusively by NCM. Except as provided herein, all in-Theatre operational costs associated with Network Affiliate’s receipt and exhibition of the Service withi"
cuad_004.pdf,10,--- PAGE BREAK ---,"(i) internal resources and permissions as reasonably required to effectuate delivery of the Service, including without limitation projection and sound technicians and other employees to assist with NCM Equipment installation and Digital Content Service transmission;   (ii) unless unavailable, 24 (hour) by 7 (day) “real time” access via Network Affiliate’s network assets in conformity with Network "
cuad_004.pdf,11,--- PAGE BREAK ---,"Section 3.8 Trailers. Trailers that are exhibited in the Theatres shall not include the exhibition or display of any trademark, service mark, logo or other branding of a party other than the film studio(s), distributor(s), production company(ies); provided, however, Trailers may include incidental images of products or services which appear in the motion picture (e.g., product placements).   Secti"
cuad_004.pdf,12,--- PAGE BREAK ---,"Section 3.12 License. NCM hereby grants to Network Affiliate at no cost a limited, non-exclusive, non-transferable, non-sublicenseable, royalty-free license in the Territory during the Term only to receive, store, convert or otherwise manage, display and exhibit the Service on the Equipment at Theatres solely in connection with its performance of and subject to all of the terms and conditions of t"
cuad_004.pdf,13,--- PAGE BREAK ---,"Section 4.2 Software Support. Provided that Network Affiliate is not in breach of this Agreement, NCM shall make available to Network Affiliate at no cost pursuant to the terms of the license in Section 5.1 below all Software updates and upgrades to the extent such updates and upgrades have been or are being made generally commercially available by NCM. Unless otherwise agreed to in writing by NCM"
cuad_004.pdf,14,--- PAGE BREAK ---,"Section 5.2 Software Restrictions. Network Affiliate acknowledges that the Software and any and all components thereof constitute valuable trade secrets of NCM or its affiliates or licensors. Accordingly, except as may be expressly permitted under this Agreement, Network Affiliate shall not, nor shall it permit, cause, or authorize any other person or entity to:   (a) Use the Software for any purp"
cuad_004.pdf,15,--- PAGE BREAK ---,"(b) Prior to using any Marketing Materials or depicting or presenting any NCM Mark in or on any Marketing Materials or otherwise, Network Affiliate shall submit a sample of such Marketing Materials or other material to NCM for approval. NCM shall exercise commercially reasonable efforts to approve or reject any such Marketing Materials or other material submitted to it for review within thirty (30"
cuad_004.pdf,16,--- PAGE BREAK ---,"Section 5.4 License of the Network Affiliate Marks.   (a) Subject to the terms and conditions of this Agreement, Network Affiliate hereby grants to NCM, and NCM hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this Agreement in accordance with Section 14.8 hereof), non-sublicenseable, limited license (i) to use the Network Affiliate Marks solely in conn"
cuad_004.pdf,17,--- PAGE BREAK ---,"(e) NCM shall not use any Network Affiliate Mark in any manner that may reflect adversely on the image or quality symbolized by the Network Affiliate Mark, or that may be detrimental to the image or reputation of Network Affiliate. Notwithstanding anything herein to the contrary, Network Affiliate shall have the right, at its sole option, to terminate or suspend the trademark license grant provide"
cuad_004.pdf,18,"ARTICLE VII FEES   Section 7.1 Access Fee   (a) Digital Screen Usage Fee. On or before sixty (60) days after the end of each month during the Term, NCM shall pay to Network Affiliate $30.00 per digitized screen (i.e., a screen connected to the Digital Content Network), provided Network Affiliate provides the required attendance and screen count information as such information time frames are established by NCM on a monthly basis.   (b) Revenue Sharing. Each Party shall receive 50% of all Net Revenue derived from the sale of advertising Inventory that is exhibited in the Theatres (the “Advertising Revenue Share”). For purposes of this Agreement, “Net Revenue” shall mean gross revenues from the sale of advertising Inventory exhibited in the Theatres which is actually collected less refunds and any similar disbursements and any applicable taxes or governmental charges other than ordinary income tax. Net Revenue shall include any revenue received by Network Affiliate, directly or indirectly, through its use of or otherwise in connection with the Service and alternative or independent digital film distribution. Each party shall render an accounting to the other on a monthly basis substantiating the calculation of Net Revenue payable during such month pursuant to Section 8.3.   Section 7.2 Minimum Fee. For each twelve-month period following the Effective Date during the Term, and as long as Network Affiliate’s attendance base in the Theatres for the twelve (12) month period is equal to or greater than 400,000 patrons (the “Base Amount”), the amount paid by NCM pursuant to Section 7.1(b) shall be not less than $ .17 per Theatre patron during such period with such amount increasing by 5% on each anniversary of the Effective Date (the “Minimum Fee”). The Minimum Fee shall be prorated to account for (i) any periods during which Network Affiliate’s annual attendance base in the Theatres is lower than the Base Amount, and (ii) reductions in revenue associated with Network Affiliate’s rejection of content as permitted under Section 3.4. Any payments made in order to satisfy the “Minimum Fee” which can be characterized as an advance of amounts due from advertising clients which is “earned but not yet paid” shall be deducted from the following year’s payments when such amounts have in fact been collected.   Section 7.3 Payment. Except as otherwise specifically provided in this Agreement, all amounts due by one Party to the other under this Agreement, less any permitted deductions, shall be paid in full within sixty (60) days after the fiscal month in which such amounts were received by the paying Party, or the receipt by the paying Party of an invoice therefore, as applicable.","19    --- --- PAGE BREAK --- ---  Section 7.4 Audit. Each Party shall keep and maintain accurate books and records of all matters relating to the performance of its obligations hereunder, including without limitation the sale of advertising, in accordance with generally accepted accounting principles. During the Term and for a period of three (3) years thereafter, each Party, at its sole expense, "
cuad_004.pdf,19,--- PAGE BREAK ---,"(a) The other Party breaches any material provision of this Agreement, other than any provision of Section 14.8 or Articles V or XIII, and fails to cure such breach within thirty (30) days after receipt from the terminating party of written notice of the breach.   (b) The other Party breaches any provision of Section or 14.8 or Articles V or XIII, and, to the extent such breach is susceptible to c"
cuad_004.pdf,20,"ARTICLE IX REPRESENTATIONS AND WARRANTIES   Section 9.1 Representations and Warranties. Each party represents and warrants that:   (a) It (i) is duly formed and organized, validly existing, and in good standing under the laws of the jurisdiction of its formation and incorporation and has the power and authority to carry on its business as carried on, and (ii) has the right to enter into this Agreement and to perform its obligations under this Agreement and has the power and authority to execute and deliver this Agreement.   (b) Any registration, declaration, or filing with, or consent, approval, license, permit or other authorization or order by, any governmental or regulatory authority, domestic or foreign, that is required to be obtained by it in connection with the valid execution, delivery, acceptance and performance by it under this Agreement or the consummation by it of any transaction contemplated hereby has been completed, made, or obtained, as the case may be.   (c) Each party is the exclusive owner of, or otherwise has or will have timely obtained all rights, licenses, clearances and consents necessary to make the grants of rights made or otherwise perform its obligations under this Agreement.   (a) Neither party will at any time, except to the extent necessary to assert or defend its rights under this Agreement: (i) challenge or otherwise do anything inconsistent with the other party’s right, title or interest in its property, (ii) do or cause to be done or omit to do anything, the doing, causing or omitting of which would contest or in any way impair or tend to impair the rights of the other party in its property, or (iii) assist or cause any person or entity to do any of the foregoing.   Section 9.2 Disclaimers.   (a) Equipment Disclaimer. EXCEPT AS EXPRESSLY AND EXPLICITLY SET FORTH IN THIS ARTICLE, INCLUDING, WITHOUT LIMITATION, ANY REPRESENTATIONS AND WARRANTIES SET FORTH IN SECTION 9.1(c), ANY AND ALL INFORMATION, PRODUCTS, AND SERVICES, INCLUDING, WITHOUT LIMITATION, THE NCM PROPERTY, IS PROVIDED “AS IS” AND “WITH ALL FAULTS” AND NCM MAKES NO REPRESENTATIONS OR WARRANTIES, AND DISCLAIMS ALL REPRESENTATIONS AND WARRANTIES, EXPRESS OR IMPLIED, WRITTEN OR ORAL, ARISING FROM COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE INCLUDING, WITHOUT LIMITATION, THE IMPLIED WARRANTIES OF TITLE, NON-INFRINGEMENT, MERCHANTABILITY, AND FITNESS FOR A PARTICULAR PURPOSE. NCM MAKES NO REPRESENTATION THAT THE SERVICE WILL BE UNINTERRUPTED OR ERROR-FREE.","22    --- --- PAGE BREAK --- ---  (b) Services Disclaimer. NCM DISCLAIMS ALL REPRESENTATIONS AND WARRANTIES THAT THE SERVICE WILL BE UNINTERRUPTED OR ERROR-FREE AND DISCLAIMS ANY WARRANTIES OF FITNESS FOR A PARTICULAR PURPOSE WITH REGARD TO THE SERVICES.   ARTICLE X INDEMNIFICATION   Section 10.1 Network Affiliate Indemnification. Network Affiliate shall defend, indemnify, and hold harmless NCM an"
cuad_004.pdf,21,--- PAGE BREAK ---,"(b) Additional Remedies. In addition to, but not in limitation of, NCM’s obligations under Section 10.3 (a) above, NCM may, at its sole option, in the event that any claim, suit, proceeding, or action is brought or threatened for which NCM may be obligated under Section 10.3(a) to indemnify Network Affiliate: (i) replace or modify the NCM Property to render it non-infringing; (ii) secure for Netwo"
cuad_004.pdf,22,--- PAGE BREAK ---,"(b) EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIV HEREUNDER, AND WITH THE EXCEPTION OF THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, THE AGGREGATE TOTAL LIABILITY OF EITHER PARTY TO THE OTHER PARTY AND TO ALL OTHER PERSONS AND ENTITIES UNDER THIS AGREEMENT SHALL UNDER NO CIRCUMSTANCES EXCEED THE AMOUNT OF THE NET REVENUE RECEIVED BY NCM PURSUANT TO SECTION 7.2 OF THIS AGREEME"
cuad_004.pdf,23,--- PAGE BREAK ---,"(b) During the Term and for a period of twelve (12) months thereafter Network Affiliate will not, without NCM’s prior written consent, either alone or in concert with others directly or indirectly solicit, entice, induce, or encourage: (i) any employee, contractor or agent of NCM to terminate his or her employment, contractor or agency relationship with NCM, (ii) any client of NCM to discontinue u"
cuad_004.pdf,24,--- PAGE BREAK ---,"Section 12.2 Derived Works. Any and all data, information, and material created, conceived, reduced to practice, or developed by or on behalf of either Party, whether alone, in connection with the other Party or any third party, including, without limitation, written works, processes, methods, inventions, discoveries, software, works of visual art, audio works, look-and-feel attributes, and multim"
cuad_004.pdf,25,--- PAGE BREAK ---,"Section 13.2 Point-of-Sale Information. Due to the sensitive nature of the Point-of-Sale Information, NCM will establish a “Chinese Wall” around the Point-of-Sale Information to prevent the disclosure of the Point-of-Sale Information under any circumstances to any theatre operator that is a competitor of Network Affiliate, any employees or agents of any affiliate of NCM, including the board of dir"
cuad_004.pdf,26,--- PAGE BREAK ---,"Either party may change its address for notices by giving written notice of the new address to the other party in accordance with this section, but any element of such party’s address that is not newly provided in such notice shall be deemed not to have changed.   Section 14.2 Waiver; Remedies. The waiver or failure of either party to exercise any right provided hereunder shall not be deemed a wai"
cuad_004.pdf,27,--- PAGE BREAK ---,Section 14.7 Dispute Resolution.   (a) Governing Law. This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of the laws of any jurisdiction other than the internal laws of the State of Delaware to the ri
cuad_004.pdf,28,--- PAGE BREAK ---,"Section 14.8 Assignment. Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this Agreement or delegate any of its duties under this Agreement to any third party without NCM’s prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed. For the purposes of this Agreement, any change of control, merger, consolid"
cuad_004.pdf,29,--- PAGE BREAK ---,"IN WITNESS WHEREOF, the parties have executed this Agreement as of the day and year first above written.    --- DIGITAL CINEMA DESTINATIONS CORP.       By: /s/ A. Dale Mayo ---  By: A. Dale Mayo    Name:    Title:     NATIONAL CINEMEDIA, LLC      By: /s/ Robert W. Brouillette    Name: Robert W. Brouillette   Title: Senior Vice President    32  EXHIBIT A   Services         All lobby promotions and "
cuad_004.pdf,30,--- PAGE BREAK ---,"EXHIBIT A-1   Network Affiliate Inventory For Lobby Promotions   The Inventory of Lobby Promotions for each Theatre to which NCM has “pre-approved” access is as listed below. Per Flight (unless otherwise specified below), NCM may provide each Theatre with any combination of Lobby Promotions as described below.      *Pre approved vehicle list theatres onl y **Background music optional      Item Inv"
cuad_005.pdf,0,AFFILIATE AGREEMENT,"This Agreement entered into as of the Effective Date by and between Link Plus Corporation and Axiometric, LLC.  RECITALS  WHEREAS, Axiometric has developed certain computer software including wireless mesh networking technology and AMR devices and systems;  WHEREAS, LKPL has developed certain radio devices and systems along with hardware manufacturing capacities and plans to develop AMR devices an"
cuad_005.pdf,1,"1.1 Throughout this Agreement, and unless the context otherwise","requires, the terms shown on Exhibit A (whether or not  capitalized) shall have the meanings there specified. If other  terms are defined in the text of this Agreement, then  throughout this Agreement, those terms shall have the meanings  respectively ascribed to them.    --- 2.1 During the term of this Agreement, LKPL will provide ---  Axiometric with a license to use office space in LKPL's  corp"
